intent;question;answer;category;tags
marriage_declaration_place;"Πού γίνεται η δήλωση του γάμου;";Κάθε γάμος (θρησκευτικός ή πολιτικός) που τελείται εντός των ορίων του Δήμου Κορινθίων δηλώνεται στο αντίστοιχο Ληξιαρχείο της Δημοτικής Ενότητας όπου έλαβε χώρα.;https://korinthos.gr/politikoi-gamoi/;Πολιτικοί Γάμοι;γάμος, δήλωση, ληξιαρχείο
marriage_declaration_time;"Πότε πρέπει να δηλωθεί ο γάμος;";Εμπρόθεσμη δήλωση: εντός 40 ημερών από την τέλεση. \nΕκπρόθεσμη: από την 41η έως την 130η ημέρα, πρόστιμο 100 €. \nΜετά την 130η ημέρα, πρόστιμο 300 €.;https://korinthos.gr/politikoi-gamoi/;Πολιτικοί Γάμοι;γάμος, προθεσμία, πρόστιμο
marriage_declaration_who;"Από ποιον δηλώνεται ο γάμος;";Ο γάμος δηλώνεται από έναν εκ των δύο συζύγων ή από τρίτο πρόσωπο με συμβολαιογραφικό πληρεξούσιο.;https://korinthos.gr/politikoi-gamoi/;Πολιτικοί Γάμοι;γάμος, δήλωση, σύζυγοι
marriage_required_docs;"Τι δικαιολογητικά απαιτούνται για τη δήλωση του γάμου;";- Δήλωση γάμου υπογεγραμμένη από ιερέα ή δήμαρχο, συζύγους και μάρτυρες. \n- Ταυτότητες ή διαβατήρια. \n- Πιστοποιητικά γέννησης τελευταίου τριμήνου. \n- ΑΦΜ & ΑΜΚΑ συζύγων. \n- Αν υπάρχει, Ασφαλιστικός Φορέας. \n- Πράξη προσδιορισμού επωνύμου τέκνων.;https://korinthos.gr/politikoi-gamoi/;Πολιτικοί Γάμοι;γάμος, δικαιολογητικά, ληξιαρχείο
marriage_religious_blessing;"Τι ισχύει για την ιερολόγηση πολιτικού γάμου;";Η ιερολόγηση δηλώνεται: 1) στο Ληξιαρχείο που τελέστηκε και δηλώθηκε ο πολιτικός γάμος ή 2) στο Ληξιαρχείο του θρησκευτικού γάμου. Απαιτείται η Ληξιαρχική Πράξη Πολιτικού Γάμου.;https://korinthos.gr/politikoi-gamoi/;Πολιτικοί Γάμοι;γάμος, ιερολόγηση, πολιτικός
marriage_religious_docs;"Ποια δικαιολογητικά χρειάζονται για την ιερολόγηση του γάμου;";- Δήλωση γάμου από τον ιερέα. \n- Ταυτότητες ή διαβατήρια των συζύγων.;https://korinthos.gr/politikoi-gamoi/;Πολιτικοί Γάμοι;γάμος, ιερολόγηση, δικαιολογητικά
civil_union_declaration;"Πού δηλώνεται το σύμφωνο συμβίωσης;";Το σύμφωνο συμβίωσης δηλώνεται στο Ληξιαρχείο του τόπου κατοικίας των δύο συμβαλλομένων ή του ενός εξ αυτών.;https://korinthos.gr/symfwno-symbiwshs/;Σύμφωνο Συμβίωσης;σύμφωνο, συμβίωση, ληξιαρχείο
civil_union_required_docs;"Τι δικαιολογητικά απαιτούνται για τη δήλωση συμφώνου συμβίωσης;";- Πρωτότυπο Σύμφωνο Συμβίωσης. \n- Ταυτότητες των συμβαλλομένων. \n- ΑΦΜ & ΑΜΚΑ (ή υπεύθυνη δήλωση μη ύπαρξης). \n- Εφόσον υπάρχει, Ασφαλιστικός Φορέας. \n- Πιστοποιητικά γέννησης τελευταίου τριμήνου.;https://korinthos.gr/symfwno-symbiwshs/;Σύμφωνο Συμβίωσης;σύμφωνο, συμβίωση, δικαιολογητικά
municipal_fees_info;"Πού θα βρω πληροφορίες για τα ανταποδοτικά τέλη;";Οι πληροφορίες για τα ανταποδοτικά τέλη βρίσκονται στη σελίδα του Δήμου Κορινθίων.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/antapodotika-telh/;Άδειες & Τέλη;τέλη, δημοτικά, ανταποδοτικά
kep_info;"Τι είναι τα ΚΕΠ και ποιο είναι το ωράριό τους;";Τα ΚΕΠ (Κέντρα Εξυπηρέτησης Πολιτών) λειτουργούν για τη μείωση γραφειοκρατίας και εξυπηρέτηση πολιτών. \nΩράριο: Δευ–Παρ 07:30–15:30. \nΚεντρικό ΚΕΠ Κορίνθου: Δευ–Παρ 08:00–19:30, Σάβ 08:00–13:30. \nMyKEPLive: Δευ–Παρ 08:00–14:30.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/kep/;ΚΕΠ;ΚΕΠ, ωράριο, εξυπηρέτηση, πολίτες
kep_corinth_contact;"Ποια είναι τα στοιχεία επικοινωνίας του ΚΕΠ Κορίνθου;";Διεύθυνση: Κωστή Παλαμά 53, 20131 Κόρινθος. \nEmail: n.korinthias@kep.gov.gr. \nΤηλέφωνα: 2741363555, 27413-63503, 27413-63510, 27410-76358, 27410-76507.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/kep/;ΚΕΠ;ΚΕΠ, Κόρινθος, επικοινωνία
citizen_line_phone;"Ποιος είναι ο αριθμός της Γραμμής Δημότη;";Γραμμή Δημότη: 2741080000;https://korinthos.gr/;Αναφορές & Βλάβες;γραμμή δημότη, αναφορά, τηλέφωνο
cityhall_callcenter_phone;"Ποιο είναι το τηλεφωνικό κέντρο του Δήμου;";Τηλεφωνικό Κέντρο Δήμου: 2741361000;https://korinthos.gr/;Δήμος – Γενικά;τηλεφωνικό κέντρο, δήμος, επικοινωνία
lighting_faults_phone;"Πού καλώ για βλάβες ηλεκτροφωτισμού;";Βλάβες Ηλεκτροφωτισμού: 2741120134;https://korinthos.gr/;Αναφορές & Βλάβες;ηλεκτροφωτισμός, βλάβες, τεχνικές υπηρεσίες
protocol_cityhall_contact;"Ποιο είναι το τηλέφωνο και email του Πρωτοκόλλου Δημαρχείου;";Τηλέφωνο: 2741361074 \nEmail: protokollo@korinthos.gr;https://korinthos.gr/;Δήμαρχος & Διοίκηση;πρωτόκολλο, δημαρχείο, επικοινωνία
protocol_tech_services_contact;"Ποιο είναι το τηλέφωνο και email του Πρωτοκόλλου Τεχνικών Υπηρεσιών;";Τηλέφωνο: 2741362840 \nEmail: grammateia_dtyp@korinthos.gr;https://korinthos.gr/;Τεχνικές Υπηρεσίες;πρωτόκολλο, τεχνικές υπηρεσίες, επικοινωνία
deya_corinth_info;"Πώς επικοινωνώ με τη ΔΕΥΑ Κορίνθου;";ΔΕΥΑ Κορίνθου \nΤηλέφωνο βλαβών (24ωρο): 6936776041 \nΤηλ. Κέντρο: 2741024444 \nEmail: info@deyakor.gr;https://deyakor.gr/;Αναφορές & Βλάβες;ΔΕΥΑΚ, ύδρευση, αποχέτευση, βλάβες
digital_repository_info;"Τι είναι το Ψηφιακό Αποθετήριο του Δήμου Κορινθίων;";Η πλατφόρμα παρέχει πρόσβαση σε ψηφιοποιημένα στελέχη οικοδομικών αδειών (1946–1990) και δυνατότητα ηλεκτρονικής αίτησης για φάκελο οικοδομικής άδειας (1956–1983). Στόχος είναι η διαφάνεια και η διευκόλυνση των πολιτών.;https://korinthos-digihub.evolution-isa.gr/;Τεχνικές Υπηρεσίες;ψηφιακό αποθετήριο, οικοδομικές άδειες, διαφάνεια
tourist_archaeological_sites;"Ποιοι είναι οι σημαντικότεροι αρχαιολογικοί χώροι και μνημεία της Κορίνθου;";Στην περιοχή του Δήμου Κορινθίων μπορείτε να επισκεφθείτε: \n1. Αρχαιολογικός χώρος Τενέας \n2. Λατομεία πωρολίθου στα Εξαμίλια \n3. Αρχαιολογικός χώρος Αρχαίας Κορίνθου \n4. Βήμα Αποστόλου Παύλου \n5. Ακροκόρινθος \n6. Κάστρο Πεντεσκούφι \n7. Αρχαίο Λιμάνι Λεχαίου \n8. Παλαιοχριστιανική Βασιλική Λεχαίου \n9. Αρχαίο Λιμάνι Κεγχρεών \n10. Εξαμίλιον Τείχος \n11. Δίολκος;https://visitcorinth.gr/anakalypste/arxaiologikoi-xoroi-mnimeia/;Τουρισμός;τουρισμός, αρχαιολογία, μνημεία, αξιοθέατα, Κόρινθος
